name,occupation,summary,birthday,deathday
Bela Fleck,Musician,Banjo virtuoso,10-Jul-1958,-
Jack Fleck,Golf,"Winner, 1955 US Open",07-Nov-1921,-
Gary Fleder,Film Director,Runaway Jury,19-Dec-1965,-
Mick Fleetwood,Musician,Fleetwood Mac,24-Jun-1947,-
Susan Fleetwood,Actor,The Sacrifice,21-Sep-1944,29-Sep-1995
Ari Fleischer,Government,"White House Press Secretary, 2001-03",13-Oct-1960,-
Richard Fleischer,Film Director,Soylent Green,08-Dec-1916,24-Mar-2006
Chuck Fleischmann,Politician,"Congressman, Tennessee 3rd",11-Oct-1962,-
Martin Fleischmann,Chemist,Cold fusion crank,29-Mar-1927,03-Aug-2012
Leon Fleisher,Pianist,Piano virtuoso,23-Jul-1928,-
Herbert Fleishhacker,Business,San Francisco banking magnate,02-Nov-1872,1957
Joel L. Fleishman,Business,The Foundation: A Great American Secret,c. 1935,-
Heidi Fleiss,Criminal,Hollywood madam,30-Dec-1965,-
Noah Fleiss,Actor,Josh and S.A.M.,16-Apr-1984,-
Alexander Fleming,Scientist,Discovered penicillin,06-Aug-1881,11-Mar-1955
Andrew Fleming,Film Director,The Craft,14-Mar-1963,-
Art Fleming,Game Show Host,Original Jeopardy! host,01-May-1924,25-Apr-1995
Eric Fleming,Actor,Gil Favor on Rawhide,04-Jul-1925,28-Sep-1966
Gregory J. Fleming,Business,Co-President of Merrill Lynch,c. 1964,-
Ian Fleming,Novelist,Author of the James Bond series,28-May-1908,12-Aug-1964
John Fleming,Politician,"Congressman, Louisiana 4th",05-Jul-1951,-
John Ambrose Fleming,Engineer,Invented the vacuum tube,29-Nov-1849,19-Apr-1945
Peggy Fleming,Figure Skating,Olympic gold medal winning ice skater,27-Jul-1948,-
Renée Fleming,Singer,The Beautiful Voice,14-Feb-1959,-
Rhonda Fleming,Actor,Spellbound,10-Aug-1923,-
Robben W. Fleming,Educator,"President, University of Michigan, 1968-78",18-Dec-1916,10-Jan-2010
Victor Fleming,Film Director,Gone With the Wind,23-Feb-1883,06-Jan-1949
Dennis Flemion,Singer/Songwriter,The Frogs,?,-
Jimmy Flemion,Singer/Songwriter,The Frogs,?,-
Arthur S. Flemming,Government,"HEW Secretary, 1958-61",12-Jun-1905,07-Sep-1996
Walther Flemming,Biologist,Chromosomes and mitosis,21-Apr-1843,04-Aug-1905
Jason Flemyng,Actor,The Quatermass Experiment,25-Sep-1966,-
Rodman Flender,Film Director,Idle Hands,09-Jun-1962,-
Andrew Fletcher,Musician,"Keyboardist, Depeche Mode",08-Jul-1961,-
Betty B. Fletcher,Judge,"9th Circuit Court of Appeals, 1979-98",29-Mar-1923,-
Brendan Fletcher,Actor,Eric Anderson on Caitlin's Way,15-Dec-1981,-
Denise K. Fletcher,Business,EVP Finance at Vulcan Energy,c. 1949,-
Dexter Fletcher,Actor,Hotel Babylon,31-Jan-1966,-
Duncan U. Fletcher,Politician,"Congressman from Florida, 1909-36",06-Jan-1859,17-Jun-1936
Ernie Fletcher,Politician,"Governor of Kentucky, 2003-07",12-Nov-1952,-
Jack Fletcher,Photographer,National Geographic photographer,1917,31-Dec-2003
John Fletcher,Playwright,Collaborator with Francis Beaumont,1579,29-Aug-1625
Joseph Fletcher,Sociologist,Situation ethics,10-Apr-1905,28-Oct-1991
Louise Fletcher,Actor,Nurse Ratched in One Flew Over the Cuckoo's Nest,22-Jul-1934,-
William A. Fletcher,Judge,9th Circuit Court of Appeals,06-Jun-1945,-
Olivier Fleurot,Business,"Executive Chairman, Publicis",?,-
Antony Flew,Philosopher,British Libertarian philosopher,11-Feb-1923,08-Apr-2010
Abraham Flexner,Educator,The American College,13-Nov-1866,21-Sep-1959
Friedrich Karl Flick,Business,Richest man in Austria,03-Feb-1927,05-Oct-2006
Douglas J. Flint,Business,"Group Finance Director, HSBC",c. 1956,-
Jill Flint,Actor,Jill Casey on Royal Pains,25-Nov-1977,-
Lil' Flip,Rapper,Texan freestyle rapper,03-Mar-1981,-
Jay C. Flippen,Actor,The Killing,06-Mar-1899,03-Feb-1971
Ronnie G. Flippo,Politician,"Congressman from Alabama, 1976-91",15-Aug-1937,-
Calista Flockhart,Actor,Ally McBeal,11-Nov-1964,-
Suzanne Flon,Actor,One Deadly Summer,28-Jan-1918,15-Jun-2005
Flood,Music Producer,"Produced albums for Nine Inch Nails, U2, etc.",c. 1960,-
Curt Flood,Baseball,Tried to topple MLB's antitrust exemption,18-Jan-1938,20-Jan-1997
Joel West Flood,Judge,"Virginia Congressman, Judge",02-Aug-1894,27-Apr-1964
Dann Florek,Actor,Law & Order: SVU,01-May-1950,-
Myron Floren,Musician,Accordionist for Lawrence Welk,05-Nov-1919,23-Jul-2005
Tyler Florence,Chef,Food 911 on the Food Network,03-Mar-1971,-
Bill Flores,Politician,"Congressman, Texas 17th",25-Feb-1954,-
Tom Flores,Football,"Raiders QB, later Head Coach",21-Mar-1937,-
Howard Florey,Scientist,Isolated penicillin,24-Sep-1898,21-Feb-1968
Robert Florey,Film Director,Tarzan and the Mermaids,14-Sep-1900,16-May-1979
Juan Diego Flórez,Singer,Operatic tenor,13-Jan-1973,-
Flo Rida,Rapper,Low,17-Sep-1979,-
James Florio,Politician,"Governor of New Jersey, 1990-94",29-Aug-1937,-
Steven Florio,Publisher,"CEO of Condé Nast, 1995-2005",19-Apr-1949,27-Dec-2007
Med Flory,Musician,Supersax,27-Aug-1926,-
Paul J. Flory,Chemist,Studied polymers,19-Jun-1910,09-Sep-1985
Brandon Flowers,Musician,The Killers,21-Jun-1981,-
Gennifer Flowers,Relative,Former mistress of Bill Clinton,24-Jan-1950,-
Wayland Flowers,Performance Artist,Madame's puppeteer,26-Nov-1939,11-Oct-1988
Eddie Floyd,Musician,R&B/Stax performer and songwriter,25-Jun-1935,-
Edward Floyd,Doctor,Floyd Medical Associates,c. 1934,-
Pretty Boy Floyd,Criminal,Bank robber,03-Feb-1904,22-Oct-1934
Ray Floyd,Golf,Won 4 Majors,04-Sep-1942,-
Tim Floyd,Basketball,USC Head Coach,25-Feb-1954,-
Robert Fludd,Scientist,Cosmologist and hermetic philosopher,1574,08-Sep-1637
Darlanne Fluegel,Actor,To Live and Die in LA,25-Nov-1958,-
Patrick Flueger,Actor,Shawn Farrell on The 4400,10-Dec-1983,-
"John M. Fluke, Jr.",Business,"CEO of Fluke, 1983-87",c. 1942,-
Peter J. Fluor,Business,CEO of Texas Crude Energy,c. 1948,-
Doug Flutie,Football,Greatest CFL quarterback,23-Oct-1962,-
Errol Flynn,Actor,Robin Hood,20-Jun-1909,14-Oct-1959
Joe Flynn,Actor,Capt. Binghamton on McHale's Navy,08-Nov-1924,19-Jul-1974
John Flynn,Film Director,Brainscan,14-Mar-1932,04-Apr-2007
John T. Flynn,Journalist,The Roosevelt Myth,25-Oct-1882,13-Apr-1964
Michael Flynn,Author,The January Dancer,1947,-
Miriam Flynn,Actor,Vacation,18-Jun-1952,-
Neil Flynn,Actor,The Janitor on Scrubs,13-Nov-1960,-
Raymond L. Flynn,Politician,"Mayor of Boston, 1984-93",22-Jul-1939,-
Vince Flynn,Novelist,Term Limits,1966,-
William J. Flynn,Business,CEO of Atlas Air Worldwide,c. 1953,-
William J. Flynn,Government,"FBI Director, 1919-21",1867,14-Oct-1928
Althea Flynt,Relative,Larry Flynt's dead wife,06-Nov-1953,27-Jun-1987
Henry Flynt,Musician,Violin composer turned philosopher,1940,-
Jack Flynt,Politician,"Congressman from Georgia, 1954-79",08-Nov-1914,24-Jun-2007
Larry Flynt,Business,Publisher of HUSTLER,01-Nov-1942,-
Dario Fo,Playwright,Italian playwright and Nobel laureate,26-Mar-1926,-
Ferdinand Foch,Military,Allied Supreme Commander WWI,02-Oct-1851,20-Mar-1929
Nina Foch,Actor,Executive Suite,20-Apr-1924,05-Dec-2008
Jonathan Safran Foer,Novelist,Everything Is Illuminated,21-Feb-1977,-
Norman Foerster,Critic,New Humanist movement,14-Apr-1887,01-Aug-1972
Edward T. Fogarty,Business,"CEO of Tambrands, 1994-97",c. 1937,-
Antonio Fogazzaro,Novelist,Piccolo mondo antico,25-Mar-1842,07-Mar-1911
Robert W. Fogel,Economist,Cliometrics,01-Jul-1926,-
Dan Fogelberg,Musician,Leader Of The Band,13-Aug-1951,16-Dec-2007
John Fogerty,Musician,Creedence Clearwater Revival,28-May-1945,-
Tom Fogerty,Guitarist,Creedence Clearwater Revival,09-Nov-1941,06-Sep-1990
Richard E. Fogg,Business,"Former Partner, Price Waterhouse",c. 1940,-
Dusty Foggo,Government,"CIA Executive Director, 2004-06",17-Mar-1954,-
Jared Fogle,Meme,Lost 245 lbs eating only fast food,01-Dec-1977,-
Ronald R. Fogleman,Military,"USAF Chief of Staff, 1994-97",27-Jan-1942,-
Thomas Foglietta,Politician,"Congressman from Pennsylvania, 1981-97",03-Dec-1928,13-Nov-2004
Phil Foglio,Artist,Dragon magazine cartoonist,01-May-1956,-
Ben Folds,Singer/Songwriter,"Pianist, Ben Folds Five",12-Sep-1966,-
William P. Foley II,Business,CEO of Fidelity National Financial,1944,-
April H. Foley,Business,"US Ambassador to Hungary, 2006-09",c. 1947,-
Dave Foley,Actor,The Kids in the Hall,04-Jan-1963,-
David I. Foley,Business,Blackstone Group,c. 1967,-
James Foley,Film Director,Glengarry Glen Ross,28-Dec-1953,-
James B. Foley,Diplomat,"US Ambassador to Haiti, 2003-05",04-Apr-1957,-
Mark Foley,Politician,"Congressman from Florida, 1995-2006",08-Sep-1954,-
Mick Foley,Wrestling,Cactus Jack,07-Jun-1965,-
Patrick Foley,Business,"CEO of DHL Airways, 1988-99",c. 1932,-
Red Foley,Country Musician,"Country crooner, wrote Old Shep",17-Jun-1910,19-Sep-1968
Rita V. Foley,Business,"Former VP, MeadWestVaco",c. 1954,-
Scott Foley,Actor,Noel Crane on Felicity,15-Jul-1972,-
Thomas C. Foley,Business,"US Ambassador to Ireland, 2006-09",09-Jan-1952,-
Timothy Foley,Military,US Marine Band director,06-May-1946,-
Tom Foley,Politician,"Speaker of the House, 1989-95",06-Mar-1929,-
Charles J. Folger,Politician,"US Secretary of the Treasury, 1881-84",16-Apr-1818,04-Sep-1884
John Folinsbee,Painter,Impressionist painter,14-Mar-1892,10-May-1972
Joseph W. Folk,Politician,"Governor of Missouri, 1905-09",29-Oct-1869,29-May-1923
Mary Parker Follett,Business,Community centers and conflict resolution,03-Sep-1868,18-Dec-1933
Charles M. La Follette,Politician,"Congressman from Indiana, 1943-47",27-Feb-1898,27-Jun-1974
Thomas J. Folliard,Business,CEO of Carmax,c. 1965,-
Evelyn Follit,Business,"CIO of Radio Shack, 1999-2005",c. 1948,-
James M. Follo,Business,CFO of New York Times Company,c. 1959,-
Megan Follows,Actor,Anne of Green Gables,14-Mar-1968,-
"Jim Folsom, Jr.",Politician,"Governor of Alabama, 1993-95",14-May-1949,-
Marion B. Folsom,Business,"HEW Secretary, 1955-58",23-Nov-1893,27-Sep-1976
Bridget Fonda,Actor,Single White Female,27-Jan-1964,-
Henry Fonda,Actor,12 Angry Men,16-May-1905,12-Aug-1982
Jane Fonda,Actor,Prominent Vietnam War protester,21-Dec-1937,-
Peter Fonda,Actor,Easy Rider,23-Feb-1940,-
Benson Fong,Actor,Flower Drum Song,10-Oct-1916,01-Aug-1987
Hiram Fong,Politician,"US Senator from Hawaii, 1959-77",15-Oct-1906,18-Aug-2004
Kam Fong,Actor,Chin Ho Kelly on Hawaii 5-O,27-May-1918,18-Oct-2002
Matt Fong,Government,Strategic Advisory Group,20-Nov-1953,01-Jun-2011
Deodoro da Fonseca,Head of State,First President of Brazil,05-Aug-1827,23-Aug-1892
Lyndsy Fonseca,Actor,Alex on Nikita,07-Jan-1987,-
Brigitte Fontaine,Singer,Comme à la radio,1940,-
Eddie Fontaine,Singer,Rock-a-billy singer and character actor,06-Mar-1927,13-Apr-1992
Frank Fontaine,Actor,Crazy Guggenheim,19-Apr-1920,04-Aug-1978
Joan Fontaine,Actor,Suspicion,22-Oct-1917,-
R. Richard Fontaine,Business,CEO of Gamestop,c. 1942,-
Theodor Fontane,Author,Before the Storm,30-Dec-1819,20-Sep-1898
Lynn Fontanne,Actor,English-American stage actress,06-Dec-1887,30-Jul-1983
Bernard le Bovier de Fontenelle,Author,Nouveaux Dialogues des Morts,11-Feb-1657,09-Jan-1757
Margot Fonteyn,Dancer,Exceptional British ballerina,18-May-1919,21-Feb-1991
Michael Foot,Politician,"Leader, House of Commons, 1976-79",23-Jul-1913,03-Mar-2010
Henry Stuart Foote,Politician,Governor of Mississippi 1852-54,20-Sep-1800,20-May-1880
Horton Foote,Playwright,To Kill a Mockingbird,14-Mar-1916,04-Mar-2009
Samuel Foote,Actor,Diversions,1720,21-Oct-1777
Samuel A. Foote,Politician,"Governor of Connecticut, 1834-35",08-Nov-1780,15-Sep-1846
Shelby Foote,Author,Shiloh,17-Nov-1916,27-Jun-2005
William C. Foote,Business,CEO of USG,c. 1951,-
Dick Foran,Actor,The Petrified Forest,18-Jun-1910,10-Aug-1979
June Foray,Actor,Voice of Rocky the Squirrel,18-Sep-1917,-
Bertie Forbes,Business,Forbes Magazine founder,14-May-1880,06-May-1954
Bryan Forbes,Actor,King Rat,22-Jul-1926,-
Edward Forbes,Naturalist,History of British Mollusca,12-Feb-1815,18-Nov-1854
George William Forbes,Head of State,"Prime Minister of New Zealand, 1930-35",12-May-1869,17-May-1947
Kathryn Forbes,Author,Mama's Bank Account,20-Mar-1908,15-May-1966
Kristin J. Forbes,Economist,"Council of Economic Advisers, 2003-05",21-Aug-1970,-
Malcolm Forbes,Business,"Forbes publisher, Faberge collector",19-Aug-1919,24-Feb-1990
Mary Forbes,Actor,Character actress,30-Dec-1879,22-Jul-1974
Michael Forbes,Politician,"Congressman from New York, 1995-2001",16-Jul-1952,-
Michelle Forbes,Actor,Dr. Julianna Cox on Homicide,08-Jan-1965,-
Ralph Forbes,Actor,The Hound of the Baskervilles,30-Sep-1896,31-Mar-1951
Randy Forbes,Politician,"Congressman, Virginia 4th",17-Feb-1952,-
Steve Forbes,Business,Owner and publisher of Forbes magazine,18-Jul-1947,-
Walter A. Forbes,Business,Deposed CEO of Cendant,c. 1943,-
Thomas King Forcade,Journalist,Founder of High Times,11-Sep-1945,17-Nov-1978
Ashley Force,Auto Racing,Funny car drag racer,29-Nov-1982,-
John Force,Auto Racing,Funny car drag racer,04-May-1949,-
Carolyn Forché,Poet,The Country Between Us,28-Apr-1950,-
Betty Ford,First Lady,"Former First Lady, founded Betty Ford Center",08-Apr-1918,08-Jul-2011
Charles A. Ford,Diplomat,US Ambassador to Honduras,c. 1950,-
Clementine Ford,Actor,The Young and the Restless,29-Jun-1979,-
Constance Ford,Actor,Ada Hobson on Another World,01-Jul-1923,26-Feb-1993
Danny Ford,Football,"Clemson Head Coach, 1979-89",02-Apr-1948,-
Doug Ford,Golf,Winner of 2 Majors,08-Jun-1922,-
Edsel Ford,Business,"President of Ford, 1919-43",06-Nov-1893,26-May-1943
Edsel B. Ford II,Business,"VP, Ford Motors",27-Dec-1948,-
Faith Ford,Actor,Corky Sherwood on Murphy Brown,14-Sep-1964,-
Ford Madox Ford,Novelist,The Good Soldier,17-Dec-1873,26-Jun-1939
Gerald Ford,Head of State,"38th US President, 1974-77",14-Jul-1913,26-Dec-2006
Gerald J. Ford,Business,Golden State Bancorp,1945,-
Glenn Ford,Actor,"Gilda, Blackboard Jungle",01-May-1916,30-Aug-2006
Harold Ford,Politician,"Congressman from Tennessee, 1997-2007",11-May-1970,-
"Harold Ford, Sr.",Politician,"Congressman from Tennessee, 1975-97",20-May-1945,-
Harrison Ford,Actor,Han Solo in Star Wars,13-Jul-1942,-
Henry Ford,Business,Founder of Ford Motors,30-Jul-1863,07-Apr-1947
Henry Ford II,Business,"Former President, CEO of Ford",04-Sep-1917,29-Sep-1987
Jerry L. Ford,Business,Comdisco Network Services,c. 1941,-
Joe T. Ford,Business,"CEO of Alltel, 1987-2002",c. 1937,-
John Ford,Film Director,How Green Was My Valley,01-Feb-1894,31-Aug-1973
John M. Ford,Author,Growing Up Weightless,10-Apr-1957,24-Sep-2006
Lita Ford,Musician,Band member The Runaways,23-Sep-1959,-
Luke Ford,Journalist,Journalist of the pornographic arts,28-May-1966,-
Mary Ford,Singer,Les Paul & Mary Ford,07-Jul-1924,30-Sep-1977
Melyssa Ford,TV Personality,BET personality,07-Nov-1976,-
Patricia Ford,Model,Playboy lingerie model,17-Mar-1969,-
Paul Ford,Actor,The Phil Silvers Show,02-Nov-1901,12-Apr-1976
Richard Ford,Novelist,Independence Day,16-Feb-1944,-
Robert Ford,Criminal,Shot and killed Jesse James,31-Jan-1862,08-Jun-1892
Robert S. Ford,Diplomat,US Ambassador to Algeria,?,-
Ruth Ford,Actor,American stage actress,07-Jul-1915,12-Aug-2009
Scott T. Ford,Business,CEO of Alltel,1962,-
Steven Ford,Relative,Son of Gerald Ford,19-May-1956,-
Tennessee Ernie Ford,Country Musician,Sixteen Tons,13-Feb-1919,17-Oct-1991
Thomas Mikal Ford,Actor,Tommy Strawn on Martin,15-Jun-1962,-
Tom Ford,Fashion Designer,Influential Gucci designer,27-Aug-1961,-
Trent Ford,Actor,How to Deal,16-Jan-1979,-
W. Douglas Ford,Business,Former BP/Amoco executive,c. 1944,-
Wallace Ford,Actor,A Patch of Blue,12-Feb-1898,11-Jun-1966
Wendell H. Ford,Politician,"US Senator from Kentucky, 1974-99",08-Sep-1924,-
Whitey Ford,Baseball,Ten World Series wins,21-Oct-1928,-
Willa Ford,Singer/Songwriter,I Wanna Be Bad,22-Jan-1981,-
"William Clay Ford, Sr.",Business,Ford exec and owner of the Detroit Lions,14-Mar-1925,-
"William Clay Ford, Jr.",Business,"CEO of Ford, 2001-06",03-May-1957,-
William D. Ford,Politician,"Congressman from Michigan, 1965-95",06-Aug-1927,14-Aug-2004
William L. Ford,Business,Shawnee Milling Company,c. 1942,-
Frank Forde,Head of State,"Prime Minister of Australia, 1945",18-Jul-1890,28-Jan-1983
Kirk Fordice,Politician,"Governor of Mississippi, 1992-2000",10-Feb-1934,07-Sep-2004
James H. Fordyce,Business,JH Whitney Capital Partners,c. 1959,-
James W. Fordyce,Business,"Chairman, Lasker Foundation",c. 1943,-
Henrietta Holsman Fore,Government,"Acting Administrator, USAID",c. 1948,-
Ken Foree,Actor,Dawn of the Dead,29-Feb-1948,-
Deborah Foreman,Actor,Valley Girl,12-Oct-1962,-
George Foreman,Boxing,Champ knocks out the fat,10-Jan-1949,-
James J. Forese,Business,"CEO of Ikon, 1998-2002",c. 1936,-
Lee De Forest,Inventor,Inventor of the Audion vacuum tube,26-Aug-1873,30-Jun-1961
C. S. Forester,Novelist,The African Queen,27-Aug-1899,02-Apr-1966
Sara Forestier,Actor,Games of Love and Chance,04-Oct-1986,-
Mickey Foret,Business,"CFO of Northwest Airlines, 1998-2002",c. 1946,-
Noël Forgeard,Business,"CEO of Airbus, 2004-06",08-Dec-1946,-
Claire Forlani,Actor,Boys and Girls,01-Jul-1972,-
Milos Forman,Film Director,One Flew Over The Cuckoo's Nest,18-Feb-1932,-
Peter R. Formanek,Business,"President of Autozone, 1985-94",c. 1942,-
Pope Formosus,Religion,"Roman Catholic Pope, 891-896",c. 816 AD,4-Apr-896 AD
Robert L. Fornaro,Business,CEO of AirTran Holdings,c. 1952,-
Werner Fornos,Activist,The Population Institute,1933,-
Chet Forrest,Songwriter,Kismet,31-Jul-1915,10-Oct-1999
Edwin Forrest,Actor,19th. c. American actor,09-Mar-1806,12-Dec-1872
Frederic Forrest,Actor,Apocalypse Now,23-Dec-1936,-
Nathan Bedford Forrest,Military,Confederate Cavalry General,13-Jul-1821,29-Oct-1877
Sally Forrest,Actor,While the City Sleeps,28-May-1928,-
Steve Forrest,Actor,S.W.A.T.,29-Sep-1924,-
James V. Forrestal,Government,"US Secretary of Defense, 1947-49",15-Feb-1892,22-May-1949
Maureen Forrester,Singer,"Contralto, interpreter of Mahler",25-Jul-1930,16-Jun-2010
Chuck Forsberg,Computer Programmer,Creator of ZMODEM,c. 1944,-
Peter Forsberg,Hockey,Swedish NHL player,20-Jul-1973,-
Gary D. Forsee,Business,"CEO of Sprint Nextel, 2005-07",1950,-
"John H. Forsgren, Jr.",Business,"CFO of Northeast Utilities, 1996-2004",c. 1945,-
Werner Forssmann,Doctor,Cardiac catheterization,29-Aug-1904,01-Jun-1979
E. M. Forster,Author,Howards End,01-Jan-1879,07-Jun-1970
John Forster,Author,Life of Charles Dickens,02-Apr-1812,02-Feb-1876
Marc Forster,Film Director,Quantum of Solace,27-Jan-1969,-
Robert Forster,Actor,Jackie Brown,13-Jul-1941,-
William Edward Forster,Politician,"Chief Secretary for Ireland, 1880-82",11-Jul-1818,05-Apr-1886
Bill Forsyth,Film Director,Local Hero,29-Jul-1946,-
Bruce Forsyth,TV Personality,Sunday Night at the Palladium,22-Feb-1928,-
Frederick Forsyth,Novelist,The Day of the Jackal,25-Aug-1938,-
John Forsyth,Politician,"US Secretary of State, 1834-41",22-Oct-1780,21-Oct-1841
John D. Forsyth,Business,Wellmark Blue Cross & Blue Shield,c. 1947,-
Rosemary Forsyth,Actor,The War Lord,06-Jul-1943,-
John Forsythe,Actor,Blake Carrington on Dynasty,29-Jan-1918,01-Apr-2010
William Forsythe,Actor,Raising Arizona,07-Jun-1955,-
Charles Fort,Scientist,Prophet of the Unexplained,06-Aug-1874,03-May-1932
Randall M. Fort,Government,Asst. Secy. State for Intelligence,04-Jul-1956,-
Abe Fortas,Judge,"US Supreme Court Justice, 1965-69",19-Jun-1910,05-Apr-1982
Will Forte,Actor,Saturday Night Live,17-Jun-1970,-
Jeff Fortenberry,Politician,"Congressman, Nebraska 1st",27-Dec-1960,-
Larry Fortensky,Relative,Elizabeth Taylor's latest husband,17-Jan-1952,-
Richard Fortey,Paleontologist,Trilobites and graptolites,1946,-
Carl Forti,Government,Black Rock Group,c. 1972,-
Dan Fortmann,Football,NFL Hall of Fame Guard,11-Apr-1916,23-May-1995
Wayne M. Fortun,Business,Hutchinson Technology,c. 1949,-
Luis Fortuño,Politician,Governor of Puerto Rico,31-Oct-1960,-
Pim Fortuyn,Government,Assassinated Dutch parliamentary candidate,19-Feb-1948,06-May-2002
Walter Forward,Politician,"US Secretary of the Treasury, 1841-43",24-Jan-1786,24-Nov-1852
Dick Fosbury,Track and Field,High jumper invented Fosbury Flop,06-Mar-1947,-
Ugo Foscolo,Playwright,The Last Letters of Jacopo Ortis,06-Feb-1778,10-Sep-1827
Raymond B. Fosdick,Business,President of the Rockefeller Foundation,09-Jun-1883,19-Jul-1972
Douglas L. Foshee,Business,CEO of El Paso,c. 1959,-
Gail D. Fosler,Economist,"President, The Conference Board",c. 1948,-
Eric J. Foss,Business,CEO of Pepsi Bottling Group,c. 1958,-
Joe Foss,Military,"WWII ace, Governor of South Dakota",17-Apr-1915,01-Jan-2003
Lukas Foss,Conductor,"Director, Buffalo Philharmonic, 1963-71",15-Aug-1922,01-Feb-2009
Wenche Foss,Actor,Pinchcliffe Grand Prix,05-Dec-1917,28-Mar-2011
Bob Fosse,Choreographer,Choreographer,23-Jun-1927,23-Sep-1987
Jon S. Fossel,Business,"CEO of Oppenheimer Management, 1989-96",c. 1941,-
Vito Fossella,Politician,"Congressman from New York, 1997-2009",09-Mar-1965,-
Steve Fossett,Aviator,First to cross Pacific in a balloon,22-Apr-1944,03-Sep-2007
Dian Fossey,Anthropologist,Gorillas in the Mist,16-Jan-1932,26-Dec-1985
Alan Dean Foster,Novelist,Author of many movie novelizations,18-Nov-1946,-
Ben Foster,Actor,The Door in the Floor,29-Oct-1980,-
Bill Foster,Politician,"Congressman from Illinois, 2008-11",07-Oct-1955,-
Charles Foster,Politician,"Ohio Governor, US Treasury Secretary",12-Apr-1828,09-Jan-1904
David Foster,Songwriter,"Songwriter, has won 14 Grammys",01-Nov-1949,-
Dennis E. Foster,Business,"Vice Chairman of Alltel, 1998-2000",c. 1940,-
Dianne Foster,Actor,The Last Hurrah,31-Oct-1928,-
Jodie Foster,Actor,The Silence of the Lambs,19-Nov-1962,-
John W. Foster,Diplomat,"US Secretary of State, 1892-93",02-Mar-1836,15-Mar-1917
Jon Foster,Actor,Damien Cutler on Windfall,03-Aug-1984,-
Kent B. Foster,Business,"CEO of Ingram Micro, 2000-05",1944,-
Lawrence Foster,Conductor,"Principal Conductor, Gulbenkian Orchestra",23-Oct-1941,-
Meg Foster,Actor,B-movie starlet,10-May-1948,-
Murphy J. Foster,Politician,Governor and Senator from Louisiana,12-Jan-1849,12-Jun-1921
"Murphy J. Foster, Jr.",Politician,"Governor of Louisiana, 1996-2004",11-Jul-1930,-
Norman Foster,Architect,Architect of the Gherkin,01-Jun-1935,-
Norman Foster,Film Director,Journey Into Fear,13-Dec-1900,07-Jul-1976
Paul L. Foster,Business,CEO of Western Refining,c. 1950,-
Preston Foster,Actor,My Friend Flicka,24-Aug-1900,14-Jul-1970
Sara Foster,Model,The Big Bounce,02-Aug-1981,-
Stephen Clark Foster,Politician,Thrice Mayor of Los Angeles,1820,28-Jan-1898
Stephen Collins Foster,Songwriter,My Old Kentucky Home,04-Jul-1826,13-Jan-1864
Sutton Foster,Actor,Thoroughly Modern Millie,18-Mar-1975,-
Vince Foster,Attorney,Deputy White House Counsel for Clinton,15-Jan-1945,20-Jul-1993
Charles T. Fote,Business,"CEO of First Data, 2002-05",1949,-
George L. Fotiades,Business,"COO of Cardinal Health, 2004-06",c. 1952,-
Léon Foucault,Physicist,Measured the speed of light,19-Sep-1819,11-Feb-1868
Michel Foucault,Philosopher,History of Sexuality,15-Oct-1926,26-Jun-1984
Jon Foulds,Business,Chairman of Huntsworth plc,c. 1932,-
Llyn Foulkes,Painter,Assemblage artist,1935,-
W. Frank Fountain,Business,Senior VP at Chrysler,17-Jul-1944,-
Antoine François Fourcroy,Chemist,French adherent to Lavoisier,15-Jun-1755,16-Dec-1809
Charles Fourier,Philosopher,Socialist Utopian,07-Apr-1772,10-Oct-1837
Jean Baptiste Joseph Fourier,Mathematician,Fourier series,21-Mar-1768,16-May-1830
Pierre Fournier,Cellist,French cello virtuoso,24-Jun-1906,08-Jan-1986
Randy A. Foutch,Business,CEO of Laredo Petroleum,c. 1951,-
Dan Fouts,Football,San Diego Chargers QB,10-Jun-1951,-
Alfred Fowler,Astronomer,Celestial spectroscopy,22-Mar-1868,24-Jun-1940
Donald Fowler,Government,"DNC chairman, 1995-97",12-Sep-1935,-
Fred J. Fowler,Business,"CEO of Spectra Energy, 2007-08",c. 1945,-
Harry Fowler,Actor,Cpl. Hoskins on The Army Game,10-Dec-1926,04-Jan-2012
Henry H. Fowler,Government,"US Secretary of the Treasury, 1965-68",05-Sep-1908,03-Jan-2000
Jim Fowler,Naturalist,Did all the work on Wild Kingdom,09-Apr-1932,-
Martin Fowler,Computer Programmer,Manifesto For Agile Software Development,?,-
Norman Fowler,Politician,"Former MP, now Baron Fowler",02-Feb-1938,-
Peter Fowler,Physicist,Cosmic radiation,27-Feb-1923,08-Nov-1996
Robbie Fowler,Soccer,Liverpool FC,09-Apr-1975,-
Tillie Fowler,Politician,Congresswoman from Florida,23-Dec-1942,02-Mar-2005
W. Randall Fowler,Business,CFO of Enterprise Products,c. 1957,-
William A. Fowler,Astronomer,Element generation within stars,09-Aug-1911,14-Mar-1995
"Wyche Fowler, Jr.",Politician,"US Ambassador to Saudi Arabia, 1996-2001",06-Oct-1940,-
John Fowles,Novelist,The French Lieutenant's Woman,31-Mar-1926,05-Nov-2005
Douglas Fowley,Actor,Doc Holliday on TV's Wyatt Earp,30-May-1911,21-May-1998
Bernard Fox,Actor,Dr. Bombay on Bewitched,11-May-1927,-
Charles James Fox,Politician,U.K.'s first Foreign Secretary,24-Jan-1749,13-Sep-1806
